id,snapshot_date,total,source_url
8155,2003-07-31,505,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2003-07-31,799,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2003-07-31,3,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2013-08-31,786,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2013-08-31,1078,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2013-08-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2009-04-30,798,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2009-04-30,795,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2009-04-30,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2008-03-31,998,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2008-03-31,1083,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2008-03-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2015-05-31,556,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2015-05-31,736,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2015-05-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2004-05-31,525,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2004&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2004-05-31,876,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2004&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2004-05-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2004&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2019-03-31,781,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2019&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2019-03-31,350,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2019&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2018-04-30,696,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2018&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2018-04-30,549,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2018&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2003-02-28,457,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
